date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,HashRate,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-11-15,42773,136,430611512,3166261.11764706,16.25347402,1618019979.595201460847182802,99549178.0740112474534496055,547055033829.563,0.00000475570565678628,0.0004407133448491109803526469795,0.000005,0.0004633522095929375,5.75700046,533.50377675371152005025,3698418.43981227,1700,3.55385038106078,157539.75126159875,1700,157539.75126159875,17.48559088,,0.016731863832554057,92.6704419185875,,,17459935.94178237,1210546,400458,998532.79540494,92534475.42037830757757532225,5.54357713962436,513.7257433387686812874517915,0.00023914,0.02216120948041101475,2219969.81417969,205725583.7259564472260759879,,,
2018-11-16,11859,163,195075324,1196781.12883436,13.36938567,1825624714.233394707142693259,136552625.4658977047870978605,547179073081.568,0.00000465800514094378,0.0004869878729734901728934764369,0.000005,0.000522742953515525,2.47898102,259.1739720207457500671,4433668.33914782,2037.5,4.25889721158624,213017.7535575764375,2037.5,213017.7535575764375,40.20815437,,0.019022613163062464,104.548590703105,,,17461973.44178237,532198,402566,434289.35534151,45404340.05831485615829238855,1.39881942883773,146.2445999331069448136521516,0.0004228,0.044203144149272794,563117.14218949,58873103.61667117057824136645,,,
2018-11-17,7706,126,651224586,5168449.0952381,13.38765407,1953812111.033540263276399312,145941335.3100703075698999586,607151978365.876,0.00000326008718858796,0.0003647367459901128453579531095,0.00000192,0.00021480853480005696,6.96785281,779.55950667633316505003,3802892.75739207,1575,3.29185676048118,176210.126203171725,1575,176210.126203171725,205.63924376,,0.020337678098188296,111.879445208363,,,17463548.44176053,2137321,617998,84923.22828313,9501163.66561974587760781619,0.157272772234845,17.59559050401569490219400874,0.00010237,0.01145309880598012031,97194.25869559,10874039.74030072047213921917,,,
2018-11-18,9876,128,875087037,6836617.4765625,10.26135096,1551095228.322450701372429954,151158968.7392771721917701644,490676109566.574,0.0000020220072730383,0.0001795762482810508813641389127,0.00000192,0.000170516892444969408,8.79414234,781.015533091422703592466,3122130.13854363,1600,3.34380209791753,142097.41037080784,1600,142097.41037080784,150.73885509,,0.01598647437580361,88.8108814817549,,,17465148.44176053,4349214,731663,115863.61347284,10289949.64418425349428668692,0.233672505612502,20.75266120149662180836233976,0.00005154,0.004577312831569647546,170969.52647396,15183954.3526706182882699524,,,
2018-11-19,510261,117,628849679,5374783.58119658,7.5447878,1039472979.296585495664514817,137773653.3980805742811705575,449199518577.788,0.00000205328557220245,0.0001221951343738378827055867171,0.00000192,0.00011426304318016032,6.40604771,381.236721928071424671285,2612590.01476219,1462.5,3.05618818544655,87036.30242238774375,1462.5,87036.30242238774375,77.28290121,,0.012418513701928695,59.5120016563335,,,17466610.94176053,3119901,1712349,226008.73760897,13450232.3669308660344469115,0.236622423551507,14.08187406232293156355001958,0.00003585,0.002133505259379555975,405180.170346,24113082.968744641679786391,,,
2018-11-20,424630,175,262142103,1497954.87428571,5.12693189,725685950.3433359245527126837,141543903.060024109187171624,341810695986.227,0.00000210189686405694,0.00008731665365549403367369381755,0.00000192,0.0000797603240603184,2.73827977,113.753167616153195041025,2973512.82545918,2187.5,4.57064922159313,90872.76504268046875,2187.5,90872.76504268046875,69.97493053,,0.009621665396843943,41.5418354480825,,,17468798.44176053,1302766,425680,249643.66964495,10370656.24504598108693330838,0.787894026852495,32.73056401403344191545809084,0.0000222,0.0009222287469474315,335390.72935057,13932746.48949375258017678202,,,
2018-11-21,7095,151,21667879,143495.887417219,5.54507266,824035180.4419710334905416005,148606741.7795282772192170141,552195855215.549,0.00000363895981309288,0.0001716378461726786086121597581,0.00000192,0.00009056012750287872,0.38782942,18.29264673154557411872,4144920.53252046,1887.5,3.9433912457508,89027.2086779602,1887.5,89027.2086779602,122.14883906,,0.010367859863822333,47.166733074416,,,17470685.94176053,106577,18693,143027.8509139,6746156.4662632878423087824,9.42523241437436,444.5574214531288955139623738,0.00005154,0.00243097342265540064,176185.8695219,8310111.8792233426190417104,,,
2018-11-22,19865,129,9151476,70941.6744186047,4.79996915,754823734.7378403452781413116,157255955.3788011418350398809,546865659194.538,0.0000563196920465567,0.002433076588725179011740795632,0.00000379,0.000163732434183865683,0.23226241,10.034007851902645554057,3506844.27869719,1612.5,3.36854651356731,69661.88657558929125,1612.5,69661.88657558929125,65.62920511,,0.01003834322150789,43.2011699693577,,,17472298.44176053,4124,10259,266227.48839422,11501338.97663390266977779249,32.8914539768155,1420.949293791712673941226404,0.007129865,0.3080185097235745377105,337433.42634815,14577518.80500917105531208326,,,
2018-11-23,9293,120,2521760,21014.6666666667,6.46571435,979527642.8388683811834014842,151495657.0113142428271147556,466422570567.168,0.0000162748022755654,0.0009123155886103415849264037396,0.00000229,0.00012837038893273446,0.1172925,6.575058447114740895,2782319.00930866,1500,3.13326264935924,84085.407597861,1500,84085.407597861,22.64996211,,0.013067211773232047,56.056938398574,,,17473798.44176053,7207,7153,771471.42031614,43246325.88492225026040518436,120.119137101021,6733.511068961798884600344054,0.009,0.504512445587166,859212.1876836,48164804.6762835673106031864,,,
2018-11-24,12875,155,2892937,18664.1096774194,6.6300822,1011153203.441848716987555388,152509904.4489028383980660683,382548733213.226,0.0000135416612333605,0.0007835260375684998263807942852,0.00000192,0.00011109198245378016,0.09969371,5.768318688579295663955,2947573.10454792,1937.5,4.04668222475429,112104.53958552034375,1937.5,112104.53958552034375,135.03429835,,0.015201153416715364,57.8604075280105,,,17475735.94175507,7362,6374,129417.01593762,7488121.28320972310507070501,34.0849259745733,1972.16770745088159563053542,0.00409515,0.236947047888332199075,217257.31816193,12570596.96729190689684974026,,,
2018-11-25,12067,102,3755160,36815.2941176471,9.25513612,1586916665.921507605239030189,171463352.4515150968318231744,379386066244.399,0.0000173933310230108,0.001579318509800830351607611345,0.00000192,0.000174336447389288064,0.12547549,11.393203729703198219558,1923657.13196683,1275,2.66278370798609,115770.297094449105,1275,115770.297094449105,75.34290015,,0.023005742022209213,90.8002330152542,,,17477010.94175507,7214,7134,231966.2623365,21062590.6718317841634334383,143.131725472199,12996.39402475106418906501799,0.00509194,0.462349338499693471148,1021101.72951867,92716274.97257430385253369591,,,
2018-11-26,16456,98,4382525,44719.6428571429,10.6490172,2029193025.457217558010931614,190552140.767334653555939527,236918256130.363,0.0000156179879505557,0.001813221444461182795159088785,0.00000192,0.00022290868608600768,0.15035437,17.45588284582783882373,1154172.49845735,1225,2.55818150922102,142220.385653833025,1225,142220.385653833025,43.09703071,,0.03137548671436423,116.098274003129,,,17478235.94175507,9627,8668,405555.4559657,47084288.4501697562235166753,54.6522040888786,6345.026565185554802130501139,0.56418106,65.50044729125576253674,473725.3050424,54998690.2670284232970776696,,,
2018-11-27,13549,122,3264753,26760.2704918033,8.77436637,1752275563.875931580349500611,199703943.3739618049427326927,154310967520.464,0.0000513772516025641,0.005150362343184275340763542437,0.00000374,0.00037491992200197524,0.25647524,25.71060881717590378424,935842.455874657,1525,3.18439709704698,152875.10188583215,1525,152875.10188583215,86.78497739,,0.02654428292946741,100.245968449726,,,17479760.94175507,4992,7578,201414.593489,20191000.984212681823434014,41.3946494391132,4149.646721660809909232222983,0.36473358,36.56307095323561399908,313688.6534496,31446022.8567456345740748096,,,
2018-11-28,14242,137,3854132,28132.3503649635,8.41347136,1754528765.707469599661007286,208538032.6707268789409722703,122901716606.917,0.0001001438944495,0.0100509458831966876352134265,0.00000253,0.00025392354895196091,0.5502907,55.2299476281655476429,836998.413454962,1712.5,3.57557102999692,171875.1294783529875,1712.5,171875.1294783529875,80.91240292,,0.02384831386497283,100.365039111447,,,17481473.44175507,5495,13436,216054.31071608,21684299.34521609189349496776,25.6051144519217,2569.8583134201982357696177,0.000077385,0.007766748551639326095,344030.31777602,34528616.29911378738996410094,,,
2018-11-29,11017,176,2632838,14959.3068181818,8.05501258,1716465177.659251426839079517,213092799.0676103499745961716,168561437242.32,0.000109054014859659,0.01070641244960700476834873005,0.00000374,0.000367175684573007244,0.39630229,38.907102841871776198874,1474745.27102736,2200,4.59285631662507,215985.69680765132,2200,215985.69680765132,100.75886232,,0.023159802356516646,98.1753167307506,,,17483673.44071545,3634,5981,173519.95683581,17035376.72146181943570225899,37.7542259166042,3706.533087286930223021269113,0.65708184,64.509217760024388829104,225808.02520721,22168774.39506315713334383183,,,
