date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-10-05,2454,4320,3157743,730.95902778,,0.13143775272422306,,0.17107,,156.805239,,0,0,,0,,10.44396069,,,,,,22299418294.58674,1193,2075,2135149581.382678,,9030554.91667272,,1800401.657684,,18738401452.09589,,,,
2017-10-06,1844,4320,3177892,735.62314815,,0.12879569966254129,,0.17107,,114.499377,,0,0,,0,,11.39735783,,,,,,22681292470.087363,889,1537,1990048290.072834,,9513442.68397571,,3146000.486262,,14622161405.270668,,,,
2017-10-07,1371,4320,2966675,686.73032407,,0.12204346348733186,,0.17107,,81.891164,,0,0,,0,,18.27912588,,,,,,23152667057.196199,671,1131,1266617846.458945,,8895815.32211905,,1964761,,10061167129.31665,,,,
2017-10-08,1406,4319,3118225,721.97846724,,0.13399350957290046,,0.17107,,90.981593,,0,0,,0,,25.50755747,,,,,,23345126574.214606,679,1200,915223913.771122,,8526550.06596314,,2604037.829062,,10231860079.155764,,,,
2017-10-09,1460,4319,3124999,723.54688585,,0.1291706838235287,,0.17107,,87.836065,,0,0,,0,,20.34374127,,,,,,23606471353.378541,680,1172,1160380042.332145,,6875748.46366447,,1497190.23544,,8058377199.414759,,,,
2017-10-10,1376,4319,2973712,688.51863857,,0.12202512272727195,,0.17107,,80.536581,,0,0,,0,,16.54604287,,,,,,23944240616.84196,660,1120,1447127921.09564,,8559530.39180188,,2095835.606521,,9586674038.8181,,,,
2017-10-11,1172,4319,3061365,708.81338273,,0.12665389587073544,,0.17107,,70.54622,,0,0,,0,,18.57284013,,,,,,24198602477.29574,557,956,1302902641.962377,,7179457.53483871,,1990037,,6863561403.305807,,,,
2017-10-12,1411,4320,2980765,689.99189815,,0.12834358482142777,,0.17107,,86.246889,,0,0,,0,,17.39378832,,,,,,24454434021.048851,672,1164,1405929149.615939,,7317206.77937862,,2047767,,8517228691.196718,,,,
2017-10-13,1642,4320,3169689,733.72430556,,0.14112688363171272,,0.17107,,110.361223,,0,0,,0,,17.9620461,,,,,,24674003296.687628,782,1407,1373674422.231108,,6634265.37255068,,4102862.729481,,9334411379.178805,,,,
2017-10-14,1944,4320,3223179,746.10625,,0.1529250870967725,,0.171246,,142.220331,,0,0,,0,,22.02213759,,,,,,24879236549.467297,930,1742,1129737585.568777,,6423788.43412443,,20641898.743285,,11190239452.244754,,,,
2017-10-15,1450,4320,3009238,696.58287037,,0.14396812947658302,,0.171246,,104.520862,,0,0,,0,,25.58718634,,,,,,25026837661.946435,726,1319,978100418.214638,,6459507.85687065,,20168760.759777,,8520090863.212384,,,,
2017-10-16,1311,4320,3098095,717.15162037,,0.14874264376996724,,0.171246,,93.112895,,0,0,,0,,19.52850755,,,,,,25116444557.83354,626,1166,1286142553.295223,,6583640.44907023,,19023905.251643,,7676524763.615894,,,,
2017-10-17,1343,4320,2988840,691.86111111,,0.15595810164424412,,0.171246,,104.33597,,0,0,,0,,21.65530599,,,,,,25247247087.49757,669,1272,1165868868.135517,,8295634.09229178,,17754527.906924,,10552046565.395145,,,,
2017-10-18,1042,4320,3080691,713.12291667,,0.1567478286852582,,0.171246,,78.68741,,0,0,,0,,3.8279375,,,,,,25283378250.81016,502,951,6604961097.995193,,17942748.29462995,,16393856.88263,,17063553628.193078,,,,
2017-10-19,1124,4318,3078041,712.83950903,,0.15448481716417833,,0.171246,,82.803862,,0,0,,0,,7.38734215,,,,,,25345175609.006298,536,1006,3430892340.335389,,7698664.40725631,,15519071.457404,,7744856393.699848,,,,
2017-10-20,1477,4320,3014858,697.8837963,,0.15885779716311954,,0.171246,,111.994747,,0,0,,0,,18.00286081,,,,,,25420189801.011551,705,1332,1412008350.998198,,5269140.05107458,,14636408.275236,,7018494548.031338,,,,
2017-10-21,1204,4320,3079218,712.78194444,,0.1462058096885806,,0.17107,,84.506958,,0,0,,0,,30.15561984,,,,,,25526519958.504593,578,1064,846492962.00975,,4718279.84317586,,14060008.926085,,5020249753.139116,,,,
2017-10-22,1118,4320,2940786,680.7375,,0.14667675435203023,,0.171246,,75.831882,,0,0,,0,,26.62611943,,,,,,25644071039.672711,517,952,963117104.022954,,4741018.24479923,,13588036.576438,,4513449369.048864,,,,
2017-10-23,657,4320,3006959,696.05532407,,0.1427327449664428,,0.171246,,42.534358,,0,0,,0,,32.98519494,,,,,,25715324154.138353,298,536,779602006.339065,,4413523.40856757,,7026162.538965,,2365648546.992215,,,,
2017-10-24,1556,4320,3155727,730.49236111,,0.15918440756302396,,0.171246,,113.657667,,0,0,,0,,23.83033453,,,,,,25803954295.480686,714,1360,1082819641.740973,,3826327.77062947,,7921343.964825,,5203805768.056081,,,,
2017-10-25,941,4320,2913460,674.41203704,,0.15597334606741514,,0.171246,,69.408139,,0,0,,0,,28.60387281,,,,,,25843500527.072547,445,842,903496554.319641,,5264006.96580939,,12203597.470204,,4432293865.211508,,,,
2017-10-26,910,4320,3028777,701.10578704,,0.15569064568764504,,0.171246,,66.791287,,0,0,,0,,26.72212032,,,,,,25919768682.28126,429,808,969974252.475254,,5167860.14227755,,11796801.466058,,4175630994.960258,,,,
2017-10-27,960,4320,2916947,675.21921296,,0.1556228933333326,,0.171246,,70.030302,,0,0,,0,,40.50737737,,,,,,25973174946.250958,450,849,641196163.136877,,3775073.90207359,,11241581.294889,,3205037742.860476,,,,
2017-10-28,791,4320,3033641,702.23171296,,0.1583253172043004,,0.171246,,58.897018,,0,0,,0,,37.46445826,,,,,,26022113649.35394,372,710,694581340.845086,,4478549.26197491,,11008860.470027,,3179769976.002185,,,,
2017-10-29,881,4320,3030787,701.57106481,,0.14939398540145934,,0.171246,,61.400928,,0,0,,0,,39.43233184,,,,,,26096029335.953012,411,761,661792699.552761,,3663025.26678394,,10655180.536139,,2787562228.022581,,,,
2017-10-30,1195,4320,2973620,688.33796296,,0.16306607291666553,,0.171246,,93.926058,,0,0,,0,,6.99688866,,,,,,26145171311.026954,576,1106,3736685342.731137,,107910137.68483054,,11104000.418596,,119348612279.422572,,,,
2017-10-31,1328,4320,3106679,719.13865741,,0.16131619968051003,,0.171246,,100.983941,,0,0,,0,,8.11714272,,,,,,26238494336.043013,626,1205,3232479116.975162,,8616891.25889524,,10402957.213757,,10383353966.968763,,,,
2017-11-01,1245,4320,2975153,688.69282407,,0.1658438170731696,,0.171246,,95.194351,,0,0,,0,,19.14140304,,,,,,26285076313.848662,574,1112,1373205310.653504,,4627320.13948941,,9964313.900548,,5145579995.11222,,,,
2017-11-02,1017,4319,3070905,711.02222737,,0.16399629694323045,,0.171246,,75.110304,,0,0,,0,,19.11660502,,,,,,26300504571.738358,458,883,1375793690.444692,,4503100.63279434,,9617669.053059,,3976237858.757398,,,,
2017-11-03,830,4320,3026305,700.53356481,,0.15890303713527784,,0.171246,,59.906445,,0,0,,0,,38.34622534,,,,,,26343079636.831913,377,717,686979732.70093,,3426393.12443366,,9295445.783332,,2456723870.218931,,,,
2017-11-04,774,4320,2879091,666.45625,,0.15606891549295718,,0.171246,,55.404465,,0,0,,0,,44.26021079,,,,,,26390556486.427448,355,672,596259168.575636,,3370407.94251653,,8875067.362699,,2264914137.371107,,,,
2017-11-05,813,4320,3012785,697.40393519,,0.15906077572559282,,0.171246,,60.284034,,0,0,,0,,39.70037006,,,,,,26412365030.143414,379,728,665292665.786416,,3461846.03166314,,8571392.464864,,2520223911.050769,,,,
2017-11-06,1046,4320,2929428,678.10833333,,0.16699889830508383,,0.171246,,78.82348,,0,0,,0,,29.81844695,,,,,,26430446657.319934,472,919,886379049.359884,,3231319.28897541,,8174292.575471,,2969582426.568402,,,,
2017-11-07,858,4320,3043886,704.60324074,,0.1584343980099495,,0.171246,,63.690628,,0,0,,0,,28.04902626,,,,,,26477216743.629306,402,764,943962064.88979,,3511762.25487321,,7849794.190521,,2682986362.723131,,,,
2017-11-08,790,4320,3022226,699.58935185,,0.16283501123595448,,0.171246,,57.969264,,0,0,,0,,42.01602031,,,,,,26501881399.660042,356,681,630756582.985248,,3033702.68986674,,7628611.825863,,2065951531.799247,,,,
