date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2013-02-01,14,4025,,0.00001,,0.00001,,0.00022,,4999750.01249844,,,,,,99999999999.98126,22,3,20001,,6667,,10000,,20001,,,,
2013-02-02,8,4237,,0.00001000000000000001,,0.00001,,0.00039,,9981813.13646345,,,,,,99999999999.98087,39,6,10018.22,,1669.70333333,,2.11,,10018.22,,,,
2013-02-03,4,4379,,0.00001,,0.00001,,0.00006,,3333333.33333269,,,,,,99999999999.98081,6,3,30000,,10000,,10000,,30000,,,,
2013-02-04,13,4493,,0.00001,,0.00001,,0.00009,,3300330.03300266,,,,,,99999999999.98072,9,4,30300,,7575,,10000,,30300,,,,
2013-02-05,8,4554,,0.00001,,0.00001,,0.00015,,3333333.33333269,,,,,,99999999999.98057,15,3,30000,,10000,,10000,,30000,,,,
2013-02-06,17,4191,,0.00001,,0.00001,,0.00015,,16.6665,,,,,,99999999999.98042,15,14,6000060000,,428575714.28571429,,500000000,,6000060000,,,,
2013-02-07,34,2987,,0.000010000000000000016,,0.00001,,0.00062,,65.74347189,,,,,,99999999999.9798,62,25,1521063569.042,,60842542.76168,,625,,1521063569.042,,,,
2013-02-08,46,3553,,0.000010000000000000018,,0.00001,,0.00079,,192673.77247498,,,,,,99999999999.97901,79,36,519012.000001,,15806.05555558,,3000,,569018.000001,,,,
2013-02-09,32,3261,,0.00001000000000000002,,0.00001,,0.00094,,437365.70959231,,,,,,99999999999.97807,94,30,228641.61000000002,,7621.387,,2000,,228641.61,,,,
2013-02-10,47,4324,,0.000010000000000000023,,0.00001,,0.00291,,2041482.93320217,,,,,,99999999999.97516,291,32,48984,,1530.75,,300,,48984,,,,
2013-02-11,76,4817,,0.000010000000000000023,,0.00001,,0.00311,,821412.31333177,,,,,,99999999999.97205,311,72,121741.54,,1700.57694444,,300,,122441.54,,,,
2013-02-12,65,4629,,0.000009999999999999969,,0.00001,,0.00448,,96777.0756321,,,,,,99999999999.96757,448,65,1033302.56,,15900.19323077,,100,,1033512.56,,,,
2013-02-13,38,4504,,0.000010000000000000023,,0.00001,,0.00219,,792883.08146053,,,,,,99999999999.96538,219,16,126122,,7882.625,,350,,126122,,,,
2013-02-14,34,4701,,0.000009999999999999843,,0.00001,,0.00672,,748250.96337281,,,,,,99999999999.95866,672,19,133645,,7041.84210526,,300,,133795,,,,
2013-02-15,46,4676,,0.000010000000000000023,,0.00001,,0.00311,,173817.82154117,,,,,,99999999999.95555,311,32,575315,,17978.9375,,200,,575326,,,,
2013-02-16,41,4897,,0.000010000000000000023,,0.00001,,0.00256,,10359473.7387292,,,,,,99999999999.95299,256,16,9653,,603.3125,,300,,9653,,,,
2013-02-17,19,4787,,0.000010000000000000023,,0.00001,,0.00287,,166.66643056,,,,,,99999999999.95012,287,4,600000850,,150000212.5,,50000250,,600000850,,,,
2013-02-18,27,4537,,0.000010000000000000018,,0.00001,,0.00083,,4481246.43180526,,,,,,99999999999.94929,83,24,22315.219999999998,,929.80083333,,1,,22315.22,,,,
2013-02-19,25,5297,,0.000010000000000000023,,0.00001,,0.00255,,3562776.11514703,,,,,,99999999999.94674,255,24,28068,,1169.5,,10,,28068,,,,
2013-02-20,62,4856,,0.000010000000000000023,,0.00001,,0.00211,,13355.62075518,,,,,,99999999999.94463,211,74,7487484.2460010005,,101189.31413515,,848,,7488009.246001,,,,
2013-02-21,318,4886,,0.000009999999999999774,,0.00001,,0.00926,,4323.10353391,,,,,,99999999999.93537,926,346,23131530.211001,,66854.74049422,,50000,,23131740.211001,,,,
2013-02-22,91,5140,,0.000009999999999999726,,0.00001,,0.01262,,19089.88915283,,,,,,99999999999.92275,1262,64,5238375.1,,81856.7046875,,300,,5238829.1,,,,
2013-02-23,314,5034,,0.00000999999999999969,,0.00001,,0.01736,,3121.19257714,,,,,,99999999999.90539,1736,420,32039035.570016,,76283.66802385,,50000,,32039140.570016,,,,
2013-02-24,99,5152,,0.000009999999999999835,,0.00001,,0.00695,,15273.78768642,,,,,,99999999999.89844,695,141,6547164.465878,,54977.85763034,,200,,7751877.925878,,,,
2013-02-25,232,4561,,0.000009999999999999877,,0.00001,,0.0059,,14412.78910261,,,,,,99999999999.89254,590,191,6938282.333,,36327.13263351,,40000,,6938482.333,,,,
2013-02-26,223,4543,,0.000009999999999999801,,0.00001,,0.00808,,14580.05433985,,,,,,99999999999.88446,808,187,6858685,,36677.45989305,,39800,,6858685,,,,
2013-02-27,300,4732,,0.000009999999999999725,,0.00001,,0.01272,,3408.54315039,,,,,,99999999999.87174,1272,338,29338047.25,,91075.43639053,,40000,,30783497.5,,,,
