date,index_value_usd,index_value_btc
2017-07-17,54.4800123440206008,0.0244905720956879007
2017-07-18,59.1334020779069007,0.0256687699744789985
2017-07-19,54.1363262777722412,0.0237119707928641309
2017-07-20,62.7955235355206653,0.0218040012276113429
2017-07-21,63.4952750202118139,0.0237810018802291426
2017-07-22,75.7767810805791697,0.0267493093812165052
2017-07-23,74.4771917701513217,0.0270922698889609105
2017-07-24,77.0558678870359586,0.0279678377615223649
2017-07-25,64.3211787442490817,0.0251152573736642473
2017-07-26,64.4988,0.0247
2017-07-27,64.6764625948789273,0.0242091588821849793
2017-07-28,59.9945062729141796,0.021603993602080717
2017-07-29,61.1266266520166468,0.0228258176567299916
2017-07-30,60.7434,0.022
2017-07-31,60.360226433376063,0.0211540872632181229
2017-08-01,66.4367955730007935,0.0243416181775883596
2017-08-02,63.9487269090893946,0.0236322850081077153
2017-08-03,67.2442036471593525,0.0241016923345206691
2017-08-04,67.9930676767773434,0.0238487650610756663
2017-08-05,72.3633652644234502,0.0221734774106478738
2017-08-06,72.4217278456128497,0.0225137335613914691
2017-08-07,75.7542,0.0228
2017-08-08,79.0866453651836707,0.0231516818777314018
2017-08-09,75.5285450522995063,0.022711294176737791
2017-08-10,77.3204890996203318,0.0225855139162499524
2017-08-11,86.7011922986014554,0.0237613231414301497
2017-08-12,85.1491857799494483,0.0220334804447063458
2017-08-13,79.7559503268722239,0.0196661489800996174
2017-08-14,77.041997259444031,0.0178245120108780596
2017-08-15,75.9372522738394764,0.0182776028478112071
2017-08-16,78.6359412917446861,0.0180991929606527276
2017-08-17,76.1765362010465452,0.0178366801780169316
2017-08-18,69.5825186332541392,0.0169808812532175266
2017-08-19,72.8573960214457372,0.0176177503125120316
2017-08-20,75.0479996056973704,0.0182646089385064651
2017-08-21,72.3043,0.0177
2017-08-22,69.5606525765180521,0.0171522955663154959
2017-08-23,68.9445148794323757,0.0166133763089182929
2017-08-24,72.2605983023096172,0.0167169542437554629
2017-08-25,71.7110867796261431,0.0164204559417349717
2017-08-26,71.5770019508892261,0.0165170962916640837
2017-08-27,74.5970669033880114,0.0172150039013632267
2017-08-28,74.6609866122500136,0.0170381851611029755
2017-08-29,77.4468965533666704,0.0168900484465945265
2017-08-30,80.9657190727846796,0.0177188363608599755
2017-08-31,83.2590782774837095,0.017695947331866177
2017-09-01,86.5710041555175991,0.017625640285356018
2017-09-02,76.3563910017489462,0.0167144726246528132
2017-09-03,76.8808500490017224,0.0167753700771993905
2017-09-04,63.2624661578300049,0.0149710250120529513
2017-09-05,70.9530314562272366,0.0161805565647295223
2017-09-06,75.7194950086735474,0.016477782486665548
2017-09-07,78.1434077464750914,0.0169765149795841203
2017-09-08,69.3453118827148813,0.0160770709579188889
2017-09-09,70.3778795216089037,0.0162749259018015006
2017-09-10,67.9272914772331546,0.0160358707585175134
2017-09-11,66.7124678317656219,0.0158613222540530015
2017-09-12,66.7145448583299867,0.0160558695879778994
2017-09-13,61.4491455431716318,0.0158354088125911008
2017-09-14,47.4862796310357993,0.0146594642528068871
2017-09-15,57.7745145514779566,0.0158766991993509014
2017-09-16,58.0485181813124385,0.0160322249543774047
2017-09-17,58.2865660438678717,0.0158830888942829811
2017-09-18,64.0151849231484817,0.0157824474059191054
2017-09-19,59.1233947753999374,0.0150502481354749858
2017-09-20,56.925678496363517,0.014531235337185356
2017-09-21,50.9277099418492654,0.0141114253574531612
2017-09-22,52.9330284329985119,0.0147326065502379668
2017-09-23,55.7054748948952536,0.0146730045608001285
2017-09-24,53.4957947315860594,0.0144986448072032918
2017-09-25,58.6856272370263667,0.0149588790677409027
2017-09-26,58.1555815200631727,0.0149318647300488543
2017-09-27,63.3152933121308266,0.0150495579345290981
2017-09-28,63.8993204971763049,0.0152539138786966875
2017-09-29,60.3413583151506359,0.0144895648942483992
2017-09-30,62.5984530606696765,0.014362235070996536
2017-10-01,62.0207303919334905,0.0143878784177629161
2017-10-02,58.6031752503382535,0.0137304422674006943
2017-10-03,58.1305613529917196,0.013619711103012971
2017-10-04,56.0876916978707953,0.0131410765624843714
2017-10-05,56.3635195056479006,0.0132057016919973902
2017-10-06,57.4881818780359239,0.0134692046798206063
2017-10-07,54.733547578249734,0.0128238071043573609
2017-10-08,51.1214890561523418,0.0119775191550735086
2017-10-09,49.3293378221227456,0.0115576267354532553
2017-10-10,52.0629880045459501,0.0108873059133427624
2017-10-11,55.2863412515109403,0.0114547954723755088
2017-10-12,52.1168799399607323,0.0095681551448363808
2017-10-13,52.2670285173684661,0.0092553718592665174
2017-10-14,51.7506213875349985,0.00887388287087412242
2017-10-15,49.9137665171760148,0.00879043612791682166
2017-10-16,52.2054102843621948,0.00911790929569916697
2017-10-17,51.859409298295958,0.0092515059822025035
2017-10-18,51.0700307798682402,0.00913483501676327046
2017-10-19,50.0281868741788358,0.0087637753523117784
2017-10-20,47.1932440161615432,0.00785055918558110605
2017-10-21,46.1035211185101232,0.00764366355834440649
2017-10-22,47.2257410911992253,0.0078948255377423119
2017-10-23,45.4441601274857732,0.00769757273023456007
2017-10-24,48.8047646955505243,0.00885483742537180804
2017-10-25,48.3554860731459826,0.00843311581324485138
2017-10-26,47.43484419736604,0.0080567642728194
2017-10-27,47.1066554249203691,0.00817359856902771624
2017-10-28,46.4927553766787724,0.00811712043086431495
2017-10-29,47.8168426869011967,0.00778677019644103807
2017-10-30,48.2287613754805093,0.00787502206393259942
2017-10-31,46.4262117769669445,0.00720032938060435369
2017-11-01,44.9760248532558009,0.00667207019395749026
2017-11-02,44.4363247111240298,0.0063253294185061119
