date,AdrActCnt,BlkCnt,CapMrktCurUSD,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-05-21,79,22153,165469499.5970565234217359024,0.00001,1.62468386919182E-8,0.00001,1.62468386919182E-8,0.00085,0.000001380981288813047,,,,,,8233.16590858,10544.418229486864,0.000003658553477498538,0.00162468386919182,,-12.256899881540221,101847197928.6452766,85,36,12370356.562659,20097.91876350324684352024938,347084.904518306,563.9032456108747997906154569,156564.456314,254.36774666214319287615148,12495056.562659,20300.51684199146679752024938,0.05359117651939486,0.021311005385068867,0.026729500147384986
2016-05-22,102,22668,166092581.7402239819368181365,0.00001,1.63080168250276E-8,0.00001,1.63080168250276E-8,0.00126,0.0000020548101199534776,,,,,,27304.3393092,10547.860630657988,0.00000370166744593804,0.00163080168250276,,-14.775399845353402,101847197928.6438366,126,86,3730073.6991036,6083.010464357444625216525936,43372.9499895767,70.73267981810974916476898169,6880,11.2199155756189888,3730073.6991036,6083.010464357444625216525936,0.05358651298487411,0.020189956749988847,0.026608247619411683
2016-05-23,82,22560,160150293.6300506353320957758,0.00001,1.57215670812821E-8,0.00001,1.57215670812821E-8,0.00092,0.0000014463841714779532,19424401.0888861,6.95998967729958,30538.20247326518882656488688,19424401.0888861,30538.20247326518882656488688,5860.38244479,10001.759595136722,0.0000035392589129164115,0.00157215670812821,,-18.886397803637397,101866622329.7317227,92,39,17382248.221739,27327.61814415661831972115719,445698.672352282,700.7081575424773121899420752,90149.391163,141.72897005058442484500823,17382248.221739,27327.61814415661831972115719,0.05352640300874093,0.020669800489033382,0.026879970777201386
2016-05-24,65,22525,162553823.7204233614998703707,0.00001,1.59575158185038E-8,0.00001,1.59575158185038E-8,0.00074,0.0000011808561705692812,,,,,,15066.26561509,10131.752639783594,0.00000358053185271772,0.00159575158185038,,-17.846854909108366,101866622329.7309227,74,41,6761238.978005,10789.2577944199253780208919,166526.462878171,265.734866557789957140690055,20463.315884,32.65436869179700716543592,6827584.978005,10895.1295288693706895008919,0.05352405509378557,0.020992205768656725,0.026960130635302545
2016-05-25,71,22393,156009322.2635987923911472306,0.00001,1.5315057935132E-8,0.00001,1.5315057935132E-8,0.00336,0.000005145859466204352,,,,,,15168.72512258,9668.01043225521,0.0000033991952074810115,0.0015315057935132,,-17.463027209793225,101866622329.7275127,336,299,6715569.1402224,10284.93304498906499112533568,22603.9901679679,34.61814189875824964224582628,0.00001,1.5315057935132E-8,6758593.0602224,10350.82442772871342686933568,0.05336730993956697,0.02070736569140113,0.027352167757923852
2016-05-26,96,22502,150458262.6125107813036634338,0.00001,1.47701238316807E-8,0.00001,1.47701238316807E-8,0.00115,0.0000016985642406432805,,,,,,10015.48726852,9262.671355873521,0.0000032502261835184198,0.00147701238316807,,-18.845347439084435,101866622329.7263027,115,52,10170910.2711294,15022.56041854943608462891826,195594.42829095,288.8953926644122323967099665,17211.150597,25.42108256033952073183779,10170910.2711294,15022.56041854943608462891826,0.053310088882277853,0.021292714788824843,0.02745831330400672
2016-05-27,66,22255,144677893.6051658617955355678,0.00001,1.4202678983197E-8,0.00001,1.4202678983197E-8,0.00076,0.000001079403602722972,,,,,,30193.83097188,8906.447879236928,0.000003010189362945646,0.0014202678983197,,-21.937157112635262,101866622329.7255027,76,47,3373756.1300057,4791.63752820640010178142229,74355.4495745894,105.6046580959185185800774312,92.99998,0.132084886138374133606,3494706.1300057,4963.41893050816781678142229,0.05338297279664428,0.022043558838244704,0.02664473695761971
2016-05-28,49,21982,141470538.4815100641541231719,0.00001,1.38878206861119E-8,0.00001,1.38878206861119E-8,0.00061,8.471570618528259E-7,,,,,,17160.04231195,8721.874363555302,0.000002615849210987731,0.00138878206861119,,-27.845928361191667,101866622329.7248127,61,27,5936268.7153052,8244.183546273446983260985188,219861.804270563,305.3401313434610508164094,40000,55.5512827444476,5936268.7153052,8244.183546273446983260985188,0.053356509520000345,0.018494515219168454,0.026554275580893752
2016-05-29,65,22676,146667250.9568670455657794795,0.0000100235849056604,1.443192685909992057087407729E-8,0.00001,1.43979693841373E-8,0.01275,0.0000183574109647750575,,,,,,11161.71592483,8986.645732561374,0.0000027292156633547635,0.00143979693841373,,-23.34618860681089,101866622329.7120027,1272,1225,9126430.2922337,13140.2063934044044452164487,7450.15534059894,10.72671085010105366711171945,0.00001,1.43979693841373E-8,9126440.2922337,13140.2207913737885825164487,0.0532776107678648,0.020187616423584003,0.027051201008658862
2016-05-30,64,22332,148169290.7609473433355723932,0.00001,1.45454209997639E-8,0.00001,1.45454209997639E-8,0.00937,0.0000136290594767787743,,,,,,37730.47689799,9087.458173247354,0.000002726449444769134,0.00145454209997639,,-23.02645148778708,101866622329.7025327,937,875,2699849.84831,3927.0452679817653960814009,3085.54268378286,4.488051734836307465641886675,0.00001,1.45454209997639E-8,2699849.84831,3927.0452679817653960814009,0.05321097009256886,0.020307426179229558,0.02711898601799727
2016-05-31,63,21605,156046864.4489736384930454582,0.00001,1.53187433606969E-8,0.00001,1.53187433606969E-8,0.00075,0.0000011489057520522675,,,,,,9264.02094608,9490.59704566169,0.0000028851917007597897,0.00153187433606969,,-18.816065049389156,101866622329.7016927,75,41,10995940.41536,16844.3989232414712885064384,268193.668667317,410.8389981278406510459373217,1767.903167,2.70820549018362728370823,10995940.41536,16844.3989232414712885064384,0.05335348305476016,0.023100377101172596,0.027941117432830967
2016-06-01,49,22439,152945233.9395330099542176133,0.00001,1.50028151100418E-8,0.00001,1.50028151100418E-8,0.00057,8.551604612723826E-7,77734657.7835498,27.8319967232198,116623.8698368969357572830382,77734657.7835498,116623.8698368969357572830382,8163.51308113,9211.463957992952,0.0000027906312098188213,0.00150028151100418,,-19.25366544535779,101944356987.4846525,57,20,12487804.695651,18735.22249791637643228882118,624390.23478255,936.761124895818821614441059,260.089412,0.39020733603154870574216,12487804.695651,18735.22249791637643228882118,0.05316411971802458,0.023189745368126177,0.02780685224311528
2016-06-02,44,22252,153934960.7775861878790545893,0.00001,1.50999001147739E-8,0.00001,1.50999001147739E-8,0.00059,8.908941067716601E-7,,,,,,73757.15849253,9310.081514538122,0.000002802655172413791,0.00150999001147739,,-19.225385432769038,101944356987.4840525,59,34,1382162.2073173,2087.051127290664523641505847,40651.8299210971,61.38385712913431624710064457,0.01,0.0000150999001147739,1382162.2173173,2087.051142390564638415405847,0.053133289972946786,0.02319672061164237,0.02696994440454259
2016-06-03,69,22244,154912367.3570808023996681576,0.00001,1.51957765917442E-8,0.00001,1.51957765917442E-8,0.00101,0.0000015347734357661642,,,,,,26230.39935928,9496.964810700618,0.000002665102863822326,0.00151957765917442,,-18.63309776248247,101944356987.4829725,101,30,3886496.564202,5905.83335141950109384611284,164989.218806733,250.7139309033515251223173699,6500,9.87725478463373,4949676.564202,7521.41792710056094944611284,0.053088320895349754,0.023301521671916837,0.026117240287182274
